"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
75352236,"2023-04-30 13:07:00","v1:00/1:00r...10 row",10:00.0,600,10:00.0,600,1977,467,25,253,2:31.7,100,644,109,0,151,48,Hwt,RowErg,No,,"2023-04-30 03:07:43"
73177477,"2023-02-26 15:49:00","1:44 row",1:44.9,104.9,,,397,,30,53,2:12.1,152,822,23,0,124,48,Hwt,RowErg,No,,"2023-02-26 04:49:30"
72873796,"2023-02-18 15:53:00","1x1000m/2:00r row",4:19.0,259,2:00.0,120,1000,13,31,132,2:09.5,161,854,61,0,124,48,Hwt,RowErg,No,,"2023-02-18 04:53:48"
72597652,"2023-02-11 08:33:00","v2:00/r...10 row",6:40.0,400,1:20.0,80,1661,143,34,229,2:00.4,200,989,108,159,125,48,Hwt,RowErg,No,v2:00...10,"2023-02-10 21:33:40"
72530003,"2023-02-09 12:41:00","6x1000m/2:00r row",25:06.3,1506.3,12:00.0,720,6000,91,29,742,2:05.5,177,909,378,0,124,48,Hwt,RowErg,No,1000m/2:00r,"2023-02-09 01:41:37"
72452510,"2023-02-07 17:09:00","4x1500m/2:00r row",25:31.9,1531.9,8:00.0,480,6000,62,30,777,2:07.6,168,879,372,159,125,48,Hwt,RowErg,No,,"2023-02-07 06:09:53"
72372999,"2023-02-05 09:52:00","4x1500m/2:00r row",25:41.5,1541.5,8:00.0,480,6000,63,30,777,2:08.4,165,868,369,164,0,48,Hwt,RowErg,No,1500m/2:00r,"2023-02-04 22:52:12"
72336919,"2023-02-04 08:59:00","6x1000m/2:00r row",25:24.3,1524.3,12:00.0,720,6000,106,30,774,2:07.0,171,887,372,0,127,48,Hwt,RowErg,No,1000m/2:00r,"2023-02-03 21:59:14"
72224067,"2023-02-01 16:39:00","4x1000m/2:00r row",16:59.3,1019.3,8:00.0,480,4000,73,30,517,2:07.4,169,882,248,0,125,48,Hwt,RowErg,No,1000m/2:00r,"2023-02-01 05:40:01"
71910440,"2023-01-25 08:06:00","v2:00/r...10 row",6:40.0,400,1:20.0,80,1677,150,34,229,1:59.2,206,1010,108,155,127,48,Hwt,RowErg,No,v2:00...10,"2023-01-24 21:06:45"
71864637,"2023-01-24 08:42:00","4x1500m/2:00r row",25:36.6,1536.6,8:00.0,480,6000,80,29,749,2:08.0,167,873,373,157,127,48,Hwt,RowErg,No,1500m/2:00r,"2023-01-23 21:42:14"
71782906,"2023-01-22 08:00:00","5x1000m/2:00r row",21:03.9,1263.9,10:00.0,600,5000,93,30,645,2:06.3,173,896,313,153,127,48,Hwt,RowErg,No,1000m/2:00r,"2023-01-21 21:00:09"
71709294,"2023-01-20 14:01:00","v2:00/r...10 row",6:40.0,400,1:20.0,80,1684,135,32,216,1:58.7,209,1019,111,160,124,48,Hwt,RowErg,No,v2:00...10,"2023-01-20 03:01:14"
71618370,"2023-01-18 16:03:00","v2:00/r...10 row",6:40.0,400,1:20.0,80,1678,126,32,217,1:59.1,207,1011,109,153,128,48,Hwt,RowErg,No,v2:00...10,"2023-01-18 05:03:39"
71511013,"2023-01-16 09:01:00","v1:00/2:00r...9 row",25:00.0,1500,18:00.0,1080,5989,120,29,742,2:05.2,178,913,375,0,130,48,Hwt,RowErg,No,,"2023-01-15 22:01:46"
71384405,"2023-01-13 09:08:00","3x1500m/2:00r row",19:57.3,1197.3,6:00.0,360,4500,44,29,580,2:13.0,149,811,269,0,127,48,Hwt,RowErg,No,1500m/2:00r,"2023-01-12 22:08:19"
